Model,Accuracy,Precision,Recall,F1_Score,ROC-AUC
Optimized SVM (TF-IDF GloVe),0.75,0.7388888888888888,0.75,0.7410714285714286,0.9038531691746466
SOTA (RoBERTa Twitter),0.8833333333333333,0.888095238095238,0.8833333333333333,0.8841435185185186,0.963486092111263
