Category,Support,Opt_Acc,Opt_F1,SOTA_Acc,SOTA_F1
Customer Service,24,0.9166666666666666,0.8417508417508417,0.9166666666666666,0.8958333333333334
General,17,0.5294117647058824,0.5037037037037037,0.8235294117647058,0.8278388278388279
Loans,8,0.875,0.8857142857142857,0.75,0.7301587301587301
Digital Banking,14,0.7142857142857143,0.6666666666666666,0.9285714285714286,0.9220779220779222
